Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,0:05:15,25.28,56019,4915.9542,1012,868720,4.58
hyrHas-_CME,อาชีพอิสระที่ชื่อว่า Stock photo กับรายได้ 6 หลัก !! เค้าทำยังไง เริ่มต้นยังไง ไปติดตามชมกันครับ,"Sep 7, 2022",1182,0:05:45,29.25,13460,1292.6798,334,366987,2.65
lL0pWxw-yTQ,"หอยขมยักษ์รันตนะ รายได้เสริมวันละ 2,000!! หอยขมที่มีขนาดใหญ่เท่าไข่ไก่ เลี้ยงง่าย โตไว #WTJ #wtjtalk","Aug 24, 2024",779,0:04:39,35.82,13810,1070.394,257,155089,7.13
2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:07:50,20.68,2897,378.8572,55,42193,5.41
Gwz7rBrIhxQ,"กิฟ muzcali คนไทยคนเดียว"" ที่ได้เป็น Global Brand Ambassador ในวงการจักรยาน | What the job SS3 EP.2","May 7, 2026",1356,0:06:30,28.8,3433,372.4117,61,30655,7.63
WmNEEzEiT2k,Consult ก่อสร้าง คืออะไร จำเป็นต้องมีมั้ย ? จ้างมาแล้วได้อะไร ?,"Jul 6, 2023",3354,0:08:18,14.86,2393,331.3725,26,20907,5.72
MSslsqwg1wU,กว่าจะมาเป็นช่างสัก ที่สามาารถเลี้ยงตัวได้ ไปฟังกันจ้า,"Nov 9, 2022",1204,0:04:46,23.79,3358,267.1304,28,36210,6.36
NevbHzmY2Mo,เกษตรกรงูสวยงามกับรายได้ถึง 7 หลักต่อปี !!!,"Sep 18, 2022",1583,0:07:43,29.26,1399,180.0002,10,19308,5.59
VBNMRnUmmHQ,กว่าจะมาเป็นเจ้าของเหรียญทองซีเกมส์ พี่มะตูมนักจักรยานทีมชาติ เติบโตมายังไง ผ่านอะไรมาบ้าง,"Mar 16, 2023",1614,0:06:05,22.67,1766,179.4613,13,18419,7.63
dmAZmIEVir8,พาชมฟาร์มหนูเหยื่อ,"Oct 5, 2022",685,0:04:55,43.18,1868,153.4751,17,27097,5
LsWVcplMZOI,ช่างไทยมากฝีมือที่ลูกค้าไว้ใจถอยรถใหม่คันเป็นล้าน !! มาให้คัสต้อมตั้งแต่ออกศูนย์ แบบยังไม่ได้ขี่,"Jul 6, 2022",925,0:02:41,17.43,2864,128.2943,17,34163,6.7
_OR0M0sLv7g,เบื้องหลังอาชีพ DJ ที่คุณอาจไม่เคยรู้!,"Aug 5, 2025",1463,0:03:08,12.9,1998,104.7547,12,11001,5.33
kvaTmfk5E8c,ตู้ไม้น้ำคืออะไร ของจริงหรือของปลอม เลี้ยงแล้วต้องดูแลมั้ย ?,"Mar 30, 2023",1973,0:04:42,14.34,954,74.9519,7,7799,4.09
X08hrAo4BAw,เกษตรกรทำฟาร์มหนูที่สามารถทำรายได้ถึง 7 หลักในเวลาเพียง 2 ปี !!,"Sep 30, 2022",957,0:04:07,25.84,1039,71.3769,12,8437,7.6
kqYnr5xvzg0,1 วันในการทำฟาร์มงูสวยงาม,"Aug 4, 2022",1601,0:06:58,26.12,553,64.232,2,7218,5.92
w7fgYxbLpFc,ธุรกิจร้านกาแฟ และ บาริสต้า,"Feb 7, 2023",1807,0:06:03,20.12,499,50.3916,6,10249,3.73
oDtz9pEkrGE,อินฟลูเอนเซอร์สาย Sport ทำอะไรกันบ้างในแต่ละวัน ?,"Jun 7, 2022",410,0:01:58,28.86,1279,42.0388,17,12227,6.8
R7JPTfNoMis,ศิลปินไส้แห้ง ?,"Aug 28, 2022",1753,0:06:24,21.95,220,23.513,2,2921,4.55
w2WdoZIR8MU,เปิดใจคนขับสี่ล้อแดง เป็นจริงอย่างชาวเน็ตว่ามั้ย ในอีกมุมมอง,"May 14, 2024",560,0:02:46,29.71,476,21.9986,7,10874,3.18
z-6Ls_eL27w,Location Manager คืออะไร ต้องทำอะไรบ้าง ?,"May 15, 2023",1965,0:04:53,14.95,269,21.9581,3,3510,4.59
ua_FocKpI00,ทำไมต้องมีค่ายเพลง พี่เมธ Minimal record,"Jun 14, 2022",1142,0:04:40,24.52,263,20.4602,3,5951,3.66
mi1T9IuuhOw,ชีวิตเซฟมืออาชีพ : เบื้องหลังครัวและเคล็ดลับทำอาหารระดับมือโปร,"Aug 19, 2025",1975,0:04:23,13.35,211,15.4512,3,8930,2.03
 -Ms2CWlmt0g,ไม่ใช่แค่ถ่ายสวย...นี่คือการทำงานของมือโปรนักบินโดรน,"Aug 13, 2025",3422,0:10:21,18.16,81,13.9787,2,1909,2.99
bUPGpDQQLMw,Web 3 คืออะไร มาหาคำตอบกันในคลิปได้เลบยครับ,"May 31, 2022",1142,0:04:04,21.42,146,9.9196,1,3324,2.05
mXzzBDKh5d0,กอล์ฟบาร์เทนเดอร์ ผู้ไม่เคยยอมแพ้ จนไปคว้ารางวัลระดับโลกมาจนได้,"Jun 28, 2022",1197,0:04:06,20.62,87,5.9661,2,2042,2.01
bWEY_TiAykI,AI มีผลต่ออาชีพศิลปินจริงหรือไม่ ?,"May 7, 2023",699,0:02:51,24.58,99,4.7253,1,1580,3.54
tkzTISyvF60,โค้ชต้น กับเรื่องราวของอาชีพไพรเวทเทรนเนอร์,"Aug 19, 2022",855,0:02:33,18,106,4.532,0,2512,2.55
TUXVwxumHsg,พี่เก่ง Wall Painting จากกำแพงเปล่าสู่ผลงานศิลปะที่สร้างรายได้เลี้ยงชีพ | What the job SS3 EP.3,"May 14, 2026",1143,0:03:51,20.24,64,4.1121,3,507,2.56
W4BWBWW4uNk,Vlog กอฟ Midlife Crisis,"Jun 21, 2022",803,0:01:54,14.31,43,1.3723,1,1143,1.57
4MJoPDR9Jgk,แค่เอาเท่ หรือ Funtion,"Apr 5, 2023",1616,0:01:29,5.52,49,1.214,0,3885,0.88
iqKHFG3Wbe8,What the jobs ? Teaser,"May 25, 2022",15,0:00:12,83.22,165,0.5721,15,506,10.28
