leverage,margin,exposure,leverage_label,margin_label,total_return,cagr,sharpe,sortino,max_dd,num_liq,wiped_out
1,0.1,0.1,1x,10% Margin,54.9,7.6,1.28,1.61,-6.6,0,0
1,0.2,0.2,1x,20% Margin,135.2,15.3,1.28,1.61,-13.0,0,0
1,0.3,0.3,1x,30% Margin,249.9,23.2,1.28,1.61,-19.1,0,0
1,0.5,0.5,1x,50% Margin,627.9,39.2,1.28,1.61,-30.7,0,0
1,1.0,1.0,1x,100% Margin,3077.6,78.0,1.28,1.61,-55.0,0,0
2,0.1,0.2,2x,10% Margin,135.2,15.3,1.28,1.61,-13.0,0,0
2,0.2,0.4,2x,20% Margin,409.8,31.2,1.28,1.61,-25.0,0,0
2,0.3,0.6,2x,30% Margin,918.3,47.2,1.28,1.61,-36.1,0,0
2,0.5,1.0,2x,50% Margin,3077.6,78.0,1.28,1.61,-55.0,0,0
2,1.0,2.0,2x,100% Margin,12885.3,125.1,1.28,1.61,-84.4,0,0
3,0.1,0.30000000000000004,3x,10% Margin,249.9,23.2,1.28,1.61,-19.1,0,0
3,0.2,0.6000000000000001,3x,20% Margin,918.3,47.2,1.28,1.61,-36.1,0,0
3,0.3,0.8999999999999999,3x,30% Margin,2365.4,70.6,1.28,1.61,-50.7,0,0
3,0.5,1.5,3x,50% Margin,8207.6,109.0,1.28,1.61,-72.6,0,0
3,1.0,3.0,3x,100% Margin,6610.2,101.6,1.28,1.61,-96.0,0,0
5,0.1,0.5,5x,10% Margin,435.8,32.3,1.083,1.289,-30.7,3,0
5,0.2,1.0,5x,20% Margin,1558.4,59.7,1.083,1.289,-55.0,3,0
5,0.3,1.5,5x,30% Margin,2833.0,75.7,1.083,1.289,-72.6,3,0
5,0.5,2.5,5x,50% Margin,1488.5,58.6,1.083,1.289,-93.8,3,0
5,1.0,5.0,5x,100% Margin,-100.0,-100.0,0.696,0.452,-100.0,3,1
10,0.1,1.0,10x,10% Margin,1167.6,52.7,1.009,1.214,-61.4,10,0
10,0.2,2.0,10x,20% Margin,1730.7,62.4,1.009,1.214,-88.8,10,0
10,0.3,3.0,10x,30% Margin,186.5,19.2,1.009,1.214,-98.3,10,0
10,0.5,5.0,10x,50% Margin,-100.0,-80.0,1.009,1.214,-100.0,10,1
10,1.0,10.0,10x,100% Margin,-100.0,-100.0,0.657,0.331,-100.0,10,1
