sl,tp,sl_label,tp_label,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades,win_rate
,0.05,No SL,TP 5%,483.67,34.2,0.8932,0.8787,-50.74,1.041,79,50.6
,,No SL,No TP,700.52,41.46,0.8863,1.1115,-77.2,1.031,1,50.7
0.08,,SL 8%,No TP,700.52,41.46,0.8863,1.1115,-77.2,1.031,1,50.7
0.1,,SL 10%,No TP,700.52,41.46,0.8863,1.1115,-77.2,1.031,1,50.7
0.15,,SL 15%,No TP,700.52,41.46,0.8863,1.1115,-77.2,1.031,1,50.7
0.03,,SL 3%,No TP,685.93,41.03,0.8817,1.0984,-77.2,1.031,3,50.7
0.05,,SL 5%,No TP,685.93,41.03,0.8817,1.0984,-77.2,1.031,3,50.7
,0.3,No SL,TP 30%,626.51,39.19,0.876,1.0714,-77.2,1.0318,17,50.6
0.02,,SL 2%,No TP,582.01,37.73,0.8431,1.046,-77.2,1.0298,7,50.6
,0.5,No SL,TP 50%,314.35,26.75,0.703,0.8713,-77.2,1.0249,9,50.6
0.15,0.5,SL 15%,TP 50%,267.61,24.24,0.6984,0.7928,-80.66,1.0268,43,50.6
,0.2,No SL,TP 20%,254.41,23.49,0.6588,0.8052,-77.2,1.0237,19,50.6
,0.15,No SL,TP 15%,224.3,21.67,0.6335,0.7645,-77.2,1.0232,23,50.5
,0.1,No SL,TP 10%,191.11,19.5,0.6034,0.6989,-66.69,1.0231,31,50.5
0.15,0.2,SL 15%,TP 20%,126.11,14.57,0.5295,0.5808,-71.55,1.021,69,50.5
0.15,0.3,SL 15%,TP 30%,99.7,12.22,0.4809,0.5399,-71.55,1.0186,55,50.5
0.05,0.5,SL 5%,TP 50%,1.53,0.25,0.1917,0.1787,-66.6,1.0088,96,50.6
0.15,0.15,SL 15%,TP 15%,-9.95,-1.73,0.1604,0.166,-68.49,1.0067,83,50.4
0.08,0.5,SL 8%,TP 50%,-14.73,-2.62,0.1346,0.1354,-66.35,1.0057,69,50.6
0.03,0.5,SL 3%,TP 50%,-10.49,-1.83,0.1085,0.0875,-59.24,1.0058,126,50.2
0.08,0.3,SL 8%,TP 30%,-19.25,-3.5,0.0976,0.0955,-65.15,1.0043,85,50.6
0.08,0.2,SL 8%,TP 20%,-19.33,-3.52,0.0863,0.0838,-66.38,1.0038,95,50.4
0.15,0.1,SL 15%,TP 10%,-23.03,-4.27,0.0577,0.0542,-57.71,1.0026,101,50.3
0.02,0.2,SL 2%,TP 20%,-18.97,-3.45,-0.0108,-0.0075,-55.46,0.9993,186,50.2
0.03,0.2,SL 3%,TP 20%,-25.41,-4.77,-0.0458,-0.0341,-63.27,0.9973,156,50.1
0.02,0.5,SL 2%,TP 50%,-29.75,-5.72,-0.047,-0.035,-54.86,0.9973,156,50.2
0.08,0.1,SL 8%,TP 10%,-38.54,-7.8,-0.1259,-0.104,-55.32,0.9935,121,50.2
0.08,0.15,SL 8%,TP 15%,-45.13,-9.52,-0.1272,-0.1137,-68.62,0.994,109,50.4
0.1,0.5,SL 10%,TP 50%,-57.83,-13.41,-0.1305,-0.1347,-81.52,0.9946,69,50.5
0.05,0.3,SL 5%,TP 30%,-47.46,-10.18,-0.1513,-0.1323,-73.46,0.9927,108,50.5
0.02,0.1,SL 2%,TP 10%,-27.69,-5.26,-0.1538,-0.0955,-40.97,0.9891,196,50.2
0.1,0.2,SL 10%,TP 20%,-58.02,-13.48,-0.1765,-0.1763,-77.86,0.9925,93,50.3
0.1,0.3,SL 10%,TP 30%,-61.31,-14.64,-0.1801,-0.1829,-82.87,0.9925,83,50.4
0.03,0.3,SL 3%,TP 30%,-44.56,-9.37,-0.1852,-0.1386,-71.99,0.9894,142,50.2
0.02,0.3,SL 2%,TP 30%,-44.55,-9.37,-0.2134,-0.1509,-65.36,0.9871,172,50.2
0.15,0.05,SL 15%,TP 5%,-51.18,-11.27,-0.2572,-0.2069,-63.67,0.9864,129,50.1
0.1,0.1,SL 10%,TP 10%,-58.05,-13.49,-0.2727,-0.2417,-68.94,0.987,117,50.2
0.02,0.15,SL 2%,TP 15%,-43.84,-9.17,-0.2824,-0.1839,-55.46,0.9814,186,50.2
0.05,0.2,SL 5%,TP 20%,-57.05,-13.14,-0.2837,-0.2416,-72.54,0.9859,116,50.2
0.05,0.1,SL 5%,TP 10%,-48.3,-10.42,-0.2934,-0.2128,-57.07,0.9828,136,50.2
0.03,0.15,SL 3%,TP 15%,-49.57,-10.79,-0.3173,-0.2241,-64.04,0.9807,156,50.1
0.05,0.15,SL 5%,TP 15%,-58.37,-13.6,-0.3403,-0.2716,-69.9,0.982,122,50.3
0.03,0.1,SL 3%,TP 10%,-46.55,-9.92,-0.3438,-0.2262,-56.24,0.9775,164,50.0
0.08,0.05,SL 8%,TP 5%,-53.7,-12.05,-0.4118,-0.2842,-63.84,0.9745,147,49.9
0.1,0.15,SL 10%,TP 15%,-74.19,-20.22,-0.4221,-0.4046,-83.99,0.9816,103,50.2
0.05,0.05,SL 5%,TP 5%,-48.68,-10.53,-0.4265,-0.2593,-55.6,0.9701,170,49.9
0.1,0.05,SL 10%,TP 5%,-61.12,-14.57,-0.4551,-0.3329,-68.37,0.9738,141,50.0
0.03,0.05,SL 3%,TP 5%,-46.88,-10.01,-0.4978,-0.2659,-51.18,0.9602,186,49.8
0.02,0.05,SL 2%,TP 5%,-50.15,-10.96,-0.6518,-0.3139,-52.38,0.9427,210,49.8
