,strategy,total_return,cagr,sharpe,sortino,max_dd,win_rate,profit_factor,total_trades,avg_trade_pct,avg_duration_hrs
1,EMA Cross 50/200,-54.18,-12.2,0.069,0.087,-83.62,23.0,1.002,323,-0.304,162.2
2,Keltner Channel,-55.92,-12.77,0.063,0.082,-85.15,25.4,1.002,561,-1.555,94.5
3,EMA + RSI Filter,-59.65,-14.04,0.035,0.045,-89.27,27.7,1.001,272,-0.332,194.1
4,EMA Cross 20/50,-86.05,-27.99,-0.265,-0.346,-93.6,21.1,0.991,978,-0.699,54.6
5,Bollinger Bands,-88.75,-30.53,-0.324,-0.404,-90.48,47.1,0.989,1222,-0.685,44.0
6,VWAP,-96.61,-43.11,-0.658,-0.849,-97.66,25.4,0.978,961,-1.409,55.6
7,"Supertrend (10,3)",-96.98,-44.22,-0.687,-0.891,-97.84,22.5,0.977,1139,-1.564,47.1
8,RSI (14),-97.98,-47.84,-0.815,-1.037,-98.6,52.6,0.972,379,-1.497,139.7
9,EMA Cross 9/21,-99.49,-58.55,-1.189,-1.606,-99.53,18.2,0.96,2411,-0.853,22.8
10,Stochastic RSI,-99.93,-70.42,-1.772,-2.198,-99.94,39.2,0.941,2043,-0.737,26.7
11,MACD (12/26/9),-99.97,-73.58,-1.92,-2.548,-99.97,21.4,0.937,3998,-0.905,14.1
12,OBV Trend,-100.0,-91.41,-3.73,-5.073,-100.0,12.5,0.883,7621,-0.831,7.9
